"X1","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","date traps out","date traps coll","duration"
45,"guamanaol3","guam","anao","l3","r","y","diptera",0,2018-01-12,2018-01-15,3
46,"guamanaol3","guam","anao","l3","w","r","diptera",0,2018-01-12,2018-01-15,3
47,"guamanaol3","guam","anao","l3","r","b","diptera",0,2018-01-12,2018-01-15,3
48,"guamanaol3","guam","anao","l3","b","w","diptera",0,2018-01-12,2018-01-15,3
49,"guamnblasl1","guam","nblas","l1","r","r","diptera",0,2018-01-12,2018-01-15,3
51,"guamnblasl1","guam","nblas","l1","r","y","diptera",0,2018-01-12,2018-01-15,3
53,"guamnblasl1","guam","nblas","l1","b","r","diptera",0,2018-01-12,2018-01-15,3
54,"guamnblasl1","guam","nblas","l1","b","b","diptera",0,2018-01-12,2018-01-15,3
56,"guamnblasl1","guam","nblas","l1","b","w","diptera",0,2018-01-12,2018-01-15,3
58,"guamnblasl1","guam","nblas","l1","y","b","diptera",0,2018-01-12,2018-01-15,3
59,"guamnblasl1","guam","nblas","l1","y","y","diptera",0,2018-01-12,2018-01-15,3
61,"guamnblasl1","guam","nblas","l1","w","r","diptera",0,2018-01-12,2018-01-15,3
63,"guamnblasl1","guam","nblas","l1","w","y","diptera",0,2018-01-12,2018-01-15,3
64,"guamnblasl1","guam","nblas","l1","w","w","diptera",0,2018-01-12,2018-01-15,3
66,"guamnblasl2","guam","nblas","l2","r","r","diptera",0,2018-01-12,2018-01-15,3
68,"guamnblasl2","guam","nblas","l2","r","b","diptera",0,2018-01-12,2018-01-15,3
70,"guamnblasl2","guam","nblas","l2","w","y","diptera",0,2018-01-12,2018-01-15,3
71,"guamnblasl2","guam","nblas","l2","w","w","diptera",0,2018-01-12,2018-01-15,3
72,"guamnblasl2","guam","nblas","l2","y","y","diptera",0,2018-01-12,2018-01-15,3
73,"guamnblasl2","guam","nblas","l2","w","r","diptera",0,2018-01-12,2018-01-15,3
74,"guamnblasl2","guam","nblas","l2","y","b","diptera",0,2018-01-12,2018-01-15,3
75,"guamnblasl2","guam","nblas","l2","y","w","diptera",0,2018-01-12,2018-01-15,3
76,"guamnblasl2","guam","nblas","l2","y","r","diptera",0,2018-01-12,2018-01-15,3
77,"guamnblasl2","guam","nblas","l2","b","w","diptera",0,2018-01-12,2018-01-15,3
78,"guamnblasl2","guam","nblas","l2","b","r","diptera",0,2018-01-12,2018-01-15,3
79,"guamnblasl2","guam","nblas","l2","b","b","diptera",0,2018-01-12,2018-01-15,3
80,"guamnblasl2","guam","nblas","l2","b","y","diptera",0,2018-01-12,2018-01-15,3
82,"guamnblasl3","guam","nblas","l3","r","w","diptera",0,2018-01-12,2018-01-15,3
83,"guamnblasl3","guam","nblas","l3","r","b","diptera",0,2018-01-12,2018-01-15,3
84,"guamnblasl3","guam","nblas","l3","r","y","diptera",0,2018-01-12,2018-01-15,3
85,"guamnblasl3","guam","nblas","l3","w","r","diptera",0,2018-01-12,2018-01-15,3
86,"guamnblasl3","guam","nblas","l3","w","w","diptera",0,2018-01-12,2018-01-15,3
87,"guamnblasl3","guam","nblas","l3","w","b","diptera",0,2018-01-12,2018-01-15,3
88,"guamnblasl3","guam","nblas","l3","w","y","diptera",0,2018-01-12,2018-01-15,3
89,"guamnblasl3","guam","nblas","l3","y","r","diptera",0,2018-01-12,2018-01-15,3
90,"guamnblasl3","guam","nblas","l3","y","w","diptera",0,2018-01-12,2018-01-15,3
91,"guamnblasl3","guam","nblas","l3","y","b","diptera",0,2018-01-12,2018-01-15,3
93,"guamnblasl3","guam","nblas","l3","b","r","diptera",0,2018-01-12,2018-01-15,3
94,"guamnblasl3","guam","nblas","l3","b","w","diptera",0,2018-01-12,2018-01-15,3
95,"guamnblasl3","guam","nblas","l3","b","b","diptera",0,2018-01-12,2018-01-15,3
96,"guamnblasl3","guam","nblas","l3","b","y","diptera",0,2018-01-12,2018-01-15,3
97,"guamracetrackl1","guam","racetrack","l1","w","w","diptera",0,2018-01-12,2018-01-15,3
98,"guamracetrackl1","guam","racetrack","l1","w","r","diptera",0,2018-01-12,2018-01-15,3
99,"guamracetrackl1","guam","racetrack","l1","w","y","diptera",0,2018-01-12,2018-01-15,3
101,"guamracetrackl1","guam","racetrack","l1","w","b","diptera",0,2018-01-12,2018-01-15,3
102,"guamracetrackl1","guam","racetrack","l1","r","r","diptera",0,2018-01-12,2018-01-15,3
104,"guamracetrackl1","guam","racetrack","l1","y","r","diptera",0,2018-01-12,2018-01-15,3
107,"guamracetrackl1","guam","racetrack","l1","r","b","diptera",0,2018-01-12,2018-01-15,3
108,"guamracetrackl1","guam","racetrack","l1","r","w","diptera",0,2018-01-12,2018-01-15,3
110,"guamracetrackl1","guam","racetrack","l1","b","w","diptera",0,2018-01-12,2018-01-15,3
111,"guamracetrackl1","guam","racetrack","l1","b","b","diptera",0,2018-01-12,2018-01-15,3
113,"guamracetrackl2","guam","racetrack","l2","r","w","diptera",0,2018-01-12,2018-01-15,3
115,"guamracetrackl2","guam","racetrack","l2","b","b","diptera",0,2018-01-12,2018-01-15,3
124,"guamracetrackl2","guam","racetrack","l2","w","b","diptera",0,2018-01-12,2018-01-15,3
128,"guamracetrackl2","guam","racetrack","l2","r","r","diptera",0,2018-01-12,2018-01-15,3
129,"guamracetrackl3","guam","racetrack","l3","r","r","diptera",0,2018-01-12,2018-01-15,3
130,"guamracetrackl3","guam","racetrack","l3","r","y","diptera",0,2018-01-12,2018-01-15,3
131,"guamracetrackl3","guam","racetrack","l3","y","r","diptera",0,2018-01-12,2018-01-15,3
132,"guamracetrackl3","guam","racetrack","l3","y","w","diptera",0,2018-01-12,2018-01-15,3
133,"guamracetrackl3","guam","racetrack","l3","y","b","diptera",0,2018-01-12,2018-01-15,3
134,"guamracetrackl3","guam","racetrack","l3","y","y","diptera",0,2018-01-12,2018-01-15,3
135,"guamracetrackl3","guam","racetrack","l3","w","b","diptera",0,2018-01-12,2018-01-15,3
138,"guamracetrackl3","guam","racetrack","l3","b","r","diptera",0,2018-01-12,2018-01-15,3
141,"guamracetrackl3","guam","racetrack","l3","w","w","diptera",0,2018-01-12,2018-01-15,3
142,"guamracetrackl3","guam","racetrack","l3","w","r","diptera",0,2018-01-12,2018-01-15,3
144,"guamracetrackl3","guam","racetrack","l3","r","w","diptera",0,2018-01-12,2018-01-15,3
145,"guamritil1","guam","riti","l1","w","b","diptera",0,2018-01-12,2018-01-15,3
146,"guamritil1","guam","riti","l1","w","y","diptera",0,2018-01-12,2018-01-15,3
148,"guamritil1","guam","riti","l1","r","b","diptera",0,2018-01-12,2018-01-15,3
149,"guamritil1","guam","riti","l1","r","y","diptera",0,2018-01-12,2018-01-15,3
150,"guamritil1","guam","riti","l1","y","b","diptera",0,2018-01-12,2018-01-15,3
151,"guamritil1","guam","riti","l1","y","w","diptera",0,2018-01-12,2018-01-15,3
152,"guamritil1","guam","riti","l1","w","r","diptera",0,2018-01-12,2018-01-15,3
153,"guamritil1","guam","riti","l1","b","y","diptera",0,2018-01-12,2018-01-15,3
154,"guamritil1","guam","riti","l1","r","w","diptera",0,2018-01-12,2018-01-15,3
155,"guamritil1","guam","riti","l1","b","r","diptera",0,2018-01-12,2018-01-15,3
156,"guamritil1","guam","riti","l1","b","b","diptera",0,2018-01-12,2018-01-15,3
157,"guamritil1","guam","riti","l1","y","r","diptera",0,2018-01-12,2018-01-15,3
158,"guamritil1","guam","riti","l1","b","w","diptera",0,2018-01-12,2018-01-15,3
159,"guamritil1","guam","riti","l1","w","w","diptera",0,2018-01-12,2018-01-15,3
160,"guamritil1","guam","riti","l1","r","r","diptera",0,2018-01-12,2018-01-15,3
161,"guamritil2","guam","riti","l2","y","y","diptera",0,2018-01-12,2018-01-15,3
162,"guamritil2","guam","riti","l2","w","r","diptera",0,2018-01-12,2018-01-15,3
163,"guamritil2","guam","riti","l2","w","w","diptera",0,2018-01-12,2018-01-15,3
164,"guamritil2","guam","riti","l2","w","b","diptera",0,2018-01-12,2018-01-15,3
165,"guamritil2","guam","riti","l2","b","w","diptera",0,2018-01-12,2018-01-15,3
166,"guamritil2","guam","riti","l2","b","r","diptera",0,2018-01-12,2018-01-15,3
167,"guamritil2","guam","riti","l2","w","y","diptera",0,2018-01-12,2018-01-15,3
168,"guamritil2","guam","riti","l2","b","b","diptera",0,2018-01-12,2018-01-15,3
169,"guamritil2","guam","riti","l2","b","y","diptera",0,2018-01-12,2018-01-15,3
170,"guamritil2","guam","riti","l2","y","w","diptera",0,2018-01-12,2018-01-15,3
171,"guamritil2","guam","riti","l2","r","r","diptera",0,2018-01-12,2018-01-15,3
172,"guamritil2","guam","riti","l2","y","r","diptera",0,2018-01-12,2018-01-15,3
173,"guamritil2","guam","riti","l2","y","b","diptera",0,2018-01-12,2018-01-15,3
174,"guamritil2","guam","riti","l2","r","w","diptera",0,2018-01-12,2018-01-15,3
175,"guamritil2","guam","riti","l2","r","y","diptera",0,2018-01-12,2018-01-15,3
176,"guamritil2","guam","riti","l2","r","b","diptera",0,2018-01-12,2018-01-15,3
177,"guamritil3","guam","riti","l3","r","r","diptera",0,2018-01-12,2018-01-15,3
178,"guamritil3","guam","riti","l3","y","r","diptera",0,2018-01-12,2018-01-15,3
180,"guamritil3","guam","riti","l3","b","y","diptera",0,2018-01-12,2018-01-15,3
181,"guamritil3","guam","riti","l3","r","w","diptera",0,2018-01-12,2018-01-15,3
182,"guamritil3","guam","riti","l3","y","w","diptera",0,2018-01-12,2018-01-15,3
183,"guamritil3","guam","riti","l3","b","w","diptera",0,2018-01-12,2018-01-15,3
184,"guamritil3","guam","riti","l3","b","b","diptera",0,2018-01-12,2018-01-15,3
185,"guamritil3","guam","riti","l3","r","b","diptera",0,2018-01-12,2018-01-15,3
186,"guamritil3","guam","riti","l3","y","b","diptera",0,2018-01-12,2018-01-15,3
187,"guamritil3","guam","riti","l3","w","r","diptera",0,2018-01-12,2018-01-15,3
188,"guamritil3","guam","riti","l3","w","b","diptera",0,2018-01-12,2018-01-15,3
189,"guamritil3","guam","riti","l3","r","y","diptera",0,2018-01-12,2018-01-15,3
190,"guamritil3","guam","riti","l3","y","y","diptera",0,2018-01-12,2018-01-15,3
191,"guamritil3","guam","riti","l3","w","w","diptera",0,2018-01-12,2018-01-15,3
192,"guamritil3","guam","riti","l3","w","y","diptera",0,2018-01-12,2018-01-15,3
193,"guamsblasl1","guam","sblas","l1","b","b","diptera",0,2018-01-12,2018-01-15,3
195,"guamsblasl1","guam","sblas","l1","b","b","diptera",0,2018-01-12,2018-01-15,3
196,"guamsblasl1","guam","sblas","l1","b","y","diptera",0,2018-01-12,2018-01-15,3
199,"guamsblasl1","guam","sblas","l1","w","y","diptera",0,2018-01-12,2018-01-15,3
200,"guamsblasl1","guam","sblas","l1","y","y","diptera",0,2018-01-12,2018-01-15,3
201,"guamsblasl1","guam","sblas","l1","w","b","diptera",0,2018-01-12,2018-01-15,3
202,"guamsblasl1","guam","sblas","l1","r","b","diptera",0,2018-01-12,2018-01-15,3
205,"guamsblasl1","guam","sblas","l1","r","r","diptera",0,2018-01-12,2018-01-15,3
206,"guamsblasl1","guam","sblas","l1","r","w","diptera",0,2018-01-12,2018-01-15,3
208,"guamsblasl1","guam","sblas","l1","y","w","diptera",0,2018-01-12,2018-01-15,3
209,"guamsblasl1","guam","sblas","l1","r","y","diptera",0,2018-01-12,2018-01-15,3
210,"guamsblasl1","guam","sblas","l1","w","w","diptera",0,2018-01-12,2018-01-15,3
211,"guamsblasl2","guam","sblas","l2","r","y","diptera",0,2018-01-12,2018-01-15,3
212,"guamsblasl2","guam","sblas","l2","r","b","diptera",0,2018-01-12,2018-01-15,3
213,"guamsblasl2","guam","sblas","l2","r","w","diptera",0,2018-01-12,2018-01-15,3
214,"guamsblasl2","guam","sblas","l2","r","r","diptera",0,2018-01-12,2018-01-15,3
215,"guamsblasl2","guam","sblas","l2","w","y","diptera",0,2018-01-12,2018-01-15,3
216,"guamsblasl2","guam","sblas","l2","w","b","diptera",0,2018-01-12,2018-01-15,3
217,"guamsblasl2","guam","sblas","l2","w","w","diptera",0,2018-01-12,2018-01-15,3
218,"guamsblasl2","guam","sblas","l2","b","y","diptera",0,2018-01-12,2018-01-15,3
219,"guamsblasl2","guam","sblas","l2","w","r","diptera",0,2018-01-12,2018-01-15,3
220,"guamsblasl2","guam","sblas","l2","b","w","diptera",0,2018-01-12,2018-01-15,3
221,"guamsblasl2","guam","sblas","l2","b","b","diptera",0,2018-01-12,2018-01-15,3
222,"guamsblasl2","guam","sblas","l2","b","r","diptera",0,2018-01-12,2018-01-15,3
223,"guamsblasl2","guam","sblas","l2","y","y","diptera",0,2018-01-12,2018-01-15,3
224,"guamsblasl2","guam","sblas","l2","y","b","diptera",0,2018-01-12,2018-01-15,3
225,"guamsblasl2","guam","sblas","l2","y","w","diptera",0,2018-01-12,2018-01-15,3
226,"guamsblasl2","guam","sblas","l2","y","r","diptera",0,2018-01-12,2018-01-15,3
227,"guamsblasl3","guam","sblas","l3","w","w","diptera",0,2018-01-12,2018-01-15,3
228,"guamsblasl3","guam","sblas","l3","r","y","diptera",0,2018-01-12,2018-01-15,3
231,"guamsblasl3","guam","sblas","l3","r","b","diptera",0,2018-01-12,2018-01-15,3
232,"guamsblasl3","guam","sblas","l3","y","b","diptera",0,2018-01-12,2018-01-15,3
233,"guamsblasl3","guam","sblas","l3","y","y","diptera",0,2018-01-12,2018-01-15,3
237,"guamsblasl3","guam","sblas","l3","y","w","diptera",0,2018-01-12,2018-01-15,3
238,"guamsblasl3","guam","sblas","l3","b","y","diptera",0,2018-01-12,2018-01-15,3
239,"guamsblasl3","guam","sblas","l3","b","r","diptera",0,2018-01-12,2018-01-15,3
240,"guamsblasl3","guam","sblas","l3","b","w","diptera",0,2018-01-12,2018-01-15,3
241,"guamsblasl3","guam","sblas","l3","b","b","diptera",0,2018-01-12,2018-01-15,3
242,"guamsblasl3","guam","sblas","l3","y","r","diptera",0,2018-01-12,2018-01-15,3
262,"saipanforbial2","saipan","forbia","l2","y","r","diptera",0,2018-01-17,2018-01-20,3
313,"saipanforbigridl2","saipan","forbigrid","l2","b","r","diptera",0,2018-01-17,2018-01-20,3
317,"saipanforbigridl2","saipan","forbigrid","l2","w","r","diptera",0,2018-01-17,2018-01-20,3
318,"saipanforbigridl2","saipan","forbigrid","l2","r","y","diptera",0,2018-01-17,2018-01-20,3
323,"saipanforbigridl3","saipan","forbigrid","l3","y","y","diptera",0,2018-01-17,2018-01-20,3
325,"saipanforbigridl3","saipan","forbigrid","l3","r","r","diptera",0,2018-01-17,2018-01-20,3
327,"saipanforbigridl3","saipan","forbigrid","l3","b","y","diptera",0,2018-01-17,2018-01-20,3
333,"saipanforbigridl3","saipan","forbigrid","l3","y","b","diptera",0,2018-01-17,2018-01-20,3
341,"saipanladtal1","saipan","ladta","l1","b","r","diptera",0,2018-01-17,2018-01-20,3
347,"saipanladtal1","saipan","ladta","l1","w","b","diptera",0,2018-01-17,2018-01-20,3
358,"saipanladtal2","saipan","ladta","l2","b","y","diptera",0,2018-01-17,2018-01-20,3
374,"saipanladtal3","saipan","ladta","l3","b","r","diptera",0,2018-01-17,2018-01-20,3
375,"saipanladtal3","saipan","ladta","l3","b","w","diptera",0,2018-01-17,2018-01-20,3
376,"saipanladtal3","saipan","ladta","l3","b","b","diptera",0,2018-01-17,2018-01-20,3
380,"saipanladtal3","saipan","ladta","l3","w","r","diptera",0,2018-01-17,2018-01-20,3
381,"saipanladtal3","saipan","ladta","l3","w","w","diptera",0,2018-01-17,2018-01-20,3
383,"saipanladtal3","saipan","ladta","l3","y","w","diptera",0,2018-01-17,2018-01-20,3
384,"saipanladtal3","saipan","ladta","l3","y","y","diptera",0,2018-01-17,2018-01-20,3
406,"saipanmtrll1","saipan","mtrl","l1","r","y","diptera",0,2018-01-17,2018-01-20,3
415,"saipanmtrll1","saipan","mtrl","l1","y","b","diptera",0,2018-01-17,2018-01-20,3
417,"saipanmtrll1","saipan","mtrl","l1","y","r","diptera",0,2018-01-17,2018-01-20,3
420,"saipanmtrll2","saipan","mtrl","l2","r","b","diptera",0,2018-01-17,2018-01-20,3
421,"saipanmtrll2","saipan","mtrl","l2","r","y","diptera",0,2018-01-17,2018-01-20,3
423,"saipanmtrll2","saipan","mtrl","l2","y","r","diptera",0,2018-01-17,2018-01-20,3
426,"saipanmtrll2","saipan","mtrl","l2","b","r","diptera",0,2018-01-17,2018-01-20,3
428,"saipanmtrll2","saipan","mtrl","l2","b","b","diptera",0,2018-01-17,2018-01-20,3
429,"saipanmtrll2","saipan","mtrl","l2","b","y","diptera",0,2018-01-17,2018-01-20,3
430,"saipanmtrll2","saipan","mtrl","l2","b","w","diptera",0,2018-01-17,2018-01-20,3
432,"saipanmtrll2","saipan","mtrl","l2","y","w","diptera",0,2018-01-17,2018-01-20,3
436,"saipanmtrll3","saipan","mtrl","l3","r","y","diptera",0,2018-01-17,2018-01-20,3
437,"saipanmtrll3","saipan","mtrl","l3","b","b","diptera",0,2018-01-17,2018-01-20,3
438,"saipanmtrll3","saipan","mtrl","l3","y","b","diptera",0,2018-01-17,2018-01-20,3
440,"saipanmtrll3","saipan","mtrl","l3","w","r","diptera",0,2018-01-17,2018-01-20,3
442,"saipanmtrll3","saipan","mtrl","l3","b","y","diptera",0,2018-01-17,2018-01-20,3
444,"saipanmtrll3","saipan","mtrl","l3","r","w","diptera",0,2018-01-17,2018-01-20,3
445,"saipanmtrll3","saipan","mtrl","l3","r","b","diptera",0,2018-01-17,2018-01-20,3
446,"saipanmtrll3","saipan","mtrl","l3","w","b","diptera",0,2018-01-17,2018-01-20,3
448,"saipanmtrll3","saipan","mtrl","l3","w","y","diptera",0,2018-01-17,2018-01-20,3
449,"guamanaol1","guam","anao","l1","b","y","hemiptera",0,2018-01-12,2018-01-15,3
450,"guamanaol1","guam","anao","l1","y","w","hemiptera",0,2018-01-12,2018-01-15,3
451,"guamanaol1","guam","anao","l1","y","b","hemiptera",0,2018-01-12,2018-01-15,3
452,"guamanaol1","guam","anao","l1","y","r","hemiptera",0,2018-01-12,2018-01-15,3
453,"guamanaol1","guam","anao","l1","w","b","hemiptera",0,2018-01-12,2018-01-15,3
454,"guamanaol1","guam","anao","l1","r","b","hemiptera",0,2018-01-12,2018-01-15,3
455,"guamanaol1","guam","anao","l1","w","y","hemiptera",0,2018-01-12,2018-01-15,3
456,"guamanaol1","guam","anao","l1","r","w","hemiptera",0,2018-01-12,2018-01-15,3
457,"guamanaol1","guam","anao","l1","b","b","hemiptera",0,2018-01-12,2018-01-15,3
458,"guamanaol1","guam","anao","l1","b","r","hemiptera",0,2018-01-12,2018-01-15,3
459,"guamanaol1","guam","anao","l1","b","w","hemiptera",0,2018-01-12,2018-01-15,3
460,"guamanaol1","guam","anao","l1","y","y","hemiptera",0,2018-01-12,2018-01-15,3
461,"guamanaol1","guam","anao","l1","w","w","hemiptera",0,2018-01-12,2018-01-15,3
462,"guamanaol1","guam","anao","l1","w","r","hemiptera",0,2018-01-12,2018-01-15,3
463,"guamanaol1","guam","anao","l1","r","r","hemiptera",0,2018-01-12,2018-01-15,3
464,"guamanaol1","guam","anao","l1","r","y","hemiptera",0,2018-01-12,2018-01-15,3
465,"guamanaol2","guam","anao","l2","b","y","hemiptera",0,2018-01-12,2018-01-15,3
466,"guamanaol2","guam","anao","l2","b","b","hemiptera",0,2018-01-12,2018-01-15,3
467,"guamanaol2","guam","anao","l2","r","b","hemiptera",0,2018-01-12,2018-01-15,3
468,"guamanaol2","guam","anao","l2","y","y","hemiptera",0,2018-01-12,2018-01-15,3
469,"guamanaol2","guam","anao","l2","b","r","hemiptera",0,2018-01-12,2018-01-15,3
470,"guamanaol2","guam","anao","l2","r","w","hemiptera",0,2018-01-12,2018-01-15,3
471,"guamanaol2","guam","anao","l2","w","y","hemiptera",0,2018-01-12,2018-01-15,3
472,"guamanaol2","guam","anao","l2","b","w","hemiptera",0,2018-01-12,2018-01-15,3
473,"guamanaol2","guam","anao","l2","y","b","hemiptera",0,2018-01-12,2018-01-15,3
474,"guamanaol2","guam","anao","l2","y","w","hemiptera",0,2018-01-12,2018-01-15,3
475,"guamanaol2","guam","anao","l2","w","r","hemiptera",0,2018-01-12,2018-01-15,3
476,"guamanaol2","guam","anao","l2","w","b","hemiptera",0,2018-01-12,2018-01-15,3
477,"guamanaol2","guam","anao","l2","r","y","hemiptera",0,2018-01-12,2018-01-15,3
478,"guamanaol2","guam","anao","l2","w","w","hemiptera",0,2018-01-12,2018-01-15,3
479,"guamanaol2","guam","anao","l2","r","r","hemiptera",0,2018-01-12,2018-01-15,3
480,"guamanaol2","guam","anao","l2","y","r","hemiptera",0,2018-01-12,2018-01-15,3
481,"guamanaol3","guam","anao","l3","y","y","hemiptera",0,2018-01-12,2018-01-15,3
482,"guamanaol3","guam","anao","l3","y","w","hemiptera",0,2018-01-12,2018-01-15,3
483,"guamanaol3","guam","anao","l3","y","b","hemiptera",0,2018-01-12,2018-01-15,3
484,"guamanaol3","guam","anao","l3","b","b","hemiptera",0,2018-01-12,2018-01-15,3
485,"guamanaol3","guam","anao","l3","r","r","hemiptera",0,2018-01-12,2018-01-15,3
486,"guamanaol3","guam","anao","l3","w","b","hemiptera",0,2018-01-12,2018-01-15,3
487,"guamanaol3","guam","anao","l3","y","r","hemiptera",0,2018-01-12,2018-01-15,3
488,"guamanaol3","guam","anao","l3","w","w","hemiptera",0,2018-01-12,2018-01-15,3
489,"guamanaol3","guam","anao","l3","w","y","hemiptera",0,2018-01-12,2018-01-15,3
490,"guamanaol3","guam","anao","l3","b","y","hemiptera",0,2018-01-12,2018-01-15,3
491,"guamanaol3","guam","anao","l3","b","r","hemiptera",0,2018-01-12,2018-01-15,3
492,"guamanaol3","guam","anao","l3","r","w","hemiptera",0,2018-01-12,2018-01-15,3
493,"guamanaol3","guam","anao","l3","r","y","hemiptera",0,2018-01-12,2018-01-15,3
494,"guamanaol3","guam","anao","l3","w","r","hemiptera",0,2018-01-12,2018-01-15,3
495,"guamanaol3","guam","anao","l3","r","b","hemiptera",0,2018-01-12,2018-01-15,3
496,"guamanaol3","guam","anao","l3","b","w","hemiptera",0,2018-01-12,2018-01-15,3
497,"guamnblasl1","guam","nblas","l1","r","r","hemiptera",0,2018-01-12,2018-01-15,3
498,"guamnblasl1","guam","nblas","l1","r","b","hemiptera",0,2018-01-12,2018-01-15,3
499,"guamnblasl1","guam","nblas","l1","r","y","hemiptera",0,2018-01-12,2018-01-15,3
500,"guamnblasl1","guam","nblas","l1","r","w","hemiptera",0,2018-01-12,2018-01-15,3
501,"guamnblasl1","guam","nblas","l1","b","r","hemiptera",0,2018-01-12,2018-01-15,3
502,"guamnblasl1","guam","nblas","l1","b","b","hemiptera",0,2018-01-12,2018-01-15,3
503,"guamnblasl1","guam","nblas","l1","b","y","hemiptera",0,2018-01-12,2018-01-15,3
504,"guamnblasl1","guam","nblas","l1","b","w","hemiptera",0,2018-01-12,2018-01-15,3
505,"guamnblasl1","guam","nblas","l1","y","r","hemiptera",0,2018-01-12,2018-01-15,3
506,"guamnblasl1","guam","nblas","l1","y","b","hemiptera",0,2018-01-12,2018-01-15,3
508,"guamnblasl1","guam","nblas","l1","y","w","hemiptera",0,2018-01-12,2018-01-15,3
509,"guamnblasl1","guam","nblas","l1","w","r","hemiptera",0,2018-01-12,2018-01-15,3
510,"guamnblasl1","guam","nblas","l1","w","b","hemiptera",0,2018-01-12,2018-01-15,3
511,"guamnblasl1","guam","nblas","l1","w","y","hemiptera",0,2018-01-12,2018-01-15,3
512,"guamnblasl1","guam","nblas","l1","w","w","hemiptera",0,2018-01-12,2018-01-15,3
513,"guamnblasl2","guam","nblas","l2","r","y","hemiptera",0,2018-01-12,2018-01-15,3
514,"guamnblasl2","guam","nblas","l2","r","r","hemiptera",0,2018-01-12,2018-01-15,3
515,"guamnblasl2","guam","nblas","l2","r","w","hemiptera",0,2018-01-12,2018-01-15,3
516,"guamnblasl2","guam","nblas","l2","r","b","hemiptera",0,2018-01-12,2018-01-15,3
517,"guamnblasl2","guam","nblas","l2","w","b","hemiptera",0,2018-01-12,2018-01-15,3
518,"guamnblasl2","guam","nblas","l2","w","y","hemiptera",0,2018-01-12,2018-01-15,3
519,"guamnblasl2","guam","nblas","l2","w","w","hemiptera",0,2018-01-12,2018-01-15,3
520,"guamnblasl2","guam","nblas","l2","y","y","hemiptera",0,2018-01-12,2018-01-15,3
521,"guamnblasl2","guam","nblas","l2","w","r","hemiptera",0,2018-01-12,2018-01-15,3
522,"guamnblasl2","guam","nblas","l2","y","b","hemiptera",0,2018-01-12,2018-01-15,3
523,"guamnblasl2","guam","nblas","l2","y","w","hemiptera",0,2018-01-12,2018-01-15,3
524,"guamnblasl2","guam","nblas","l2","y","r","hemiptera",0,2018-01-12,2018-01-15,3
525,"guamnblasl2","guam","nblas","l2","b","w","hemiptera",0,2018-01-12,2018-01-15,3
